1506798744.594000, /muse/elements/raw_fft2, 23.347197, 30.89399, 26.917141, 32.18016, 33.55173, 33.136066, 30.325443, 23.657877, 26.40386, 28.69591, 28.565908, 28.934866, 25.415493, 21.62115, 20.776764, 21.88946, 21.72214, 22.8811, 19.011383, 14.502103, 16.853954, 14.907238, 21.531937, 18.203554, 19.102503, 18.180426, 22.566753, 21.466852, 22.11097, 21.876842, 20.489296, 24.367672, 22.001608, 13.427202, 15.743652, 16.35589, 19.566475, 19.52363, 23.54978, 21.459637, 20.509676, 19.068022, 20.276676, 21.501106, 23.2267, 23.345627, 20.365847, 19.459196, 20.924828, 17.20263, 13.754215, 18.98293, 24.033903, 22.595787, 26.652308, 23.720984, 20.710428, 22.204786, 21.247248, 13.529152, 15.426871, 20.439978, 17.993315, 12.58917, 10.250167, 13.702842, 15.635513, 17.739862, 11.594438, 9.373485, 11.665273, 12.297912, 12.3675375, 7.591871, 7.9466457, 12.056122, 13.948974, 11.804019, 12.186654, 12.071944, 12.795461, 20.762693, 25.415735, 24.254486, 20.612913, 20.893194, 20.517508, 10.120124, 9.928984, 18.44209, 19.333078, 18.351372, 20.126825, 19.78463, 21.654356, 19.971598, 19.832636, 22.384254, 22.623503, 24.409052, 17.705431, 13.206822, 16.211895, 18.708452, 21.011307, 22.053629, 19.053627, 20.874838, 20.399403, 18.526724, 24.925661, 22.49123, 20.745916, 19.174156, 13.049643, 9.645524, 14.698427, 15.098906, 19.057714, 21.591047, 15.971768, 11.71303, 11.426149, 16.14855, 20.214804, 13.943001, 16.62766, 16.992405, 10.517078
1506798744.594000, /muse/elements/raw_fft3, 1.8419175, 6.72835, 4.0285897, 3.6779392, 3.2479377, -0.955646, 1.4929326, -2.8460948, -2.436715, -3.6953413, -1.3105336, 1.582153, 1.0143865, -11.2593155, -10.1205635, -5.5292654, -7.3966265, -6.230497, -8.172671, -3.9686856, -3.6969967, -5.3940387, -9.4116955, -5.8229904, -7.354857, -4.3758864, -5.525445, -6.9389277, -7.591685, -12.851909, -13.3414755, -10.62843, -11.335068, -9.938752, -13.118815, -15.8185005, -12.127573, -6.2871485, -10.019019, -8.571256, -7.8265104, -13.043859, -14.377909, -13.972454, -17.677645, -15.941867, -8.703845, -7.172332, -6.3203096, -8.581349, -14.408223, -16.630608, -9.385721, -13.493997, -17.022182, -15.328557, -10.2001295, -13.397097, -12.223695, -17.15961, -11.287499, -10.498676, -15.03659, -10.894501, -11.115804, -12.808751, -18.072763, -19.717152, -12.3183, 7.789044, 9.461825, -4.62142, -21.64384, -15.005934, -19.208109, -22.083563, -13.491437, -11.915753, -16.896774, -9.625006, -13.454117, -17.840279, -13.359843, -14.002005, -12.81705, -10.377918, -17.653568, -17.687052, -12.077141, -14.002345, -16.40715, -18.721563, -15.196866, -16.16117, -12.926576, -14.068493, -16.55206, -14.228713, -18.32353, -21.840494, -15.621746, -10.342012, -15.719995, -18.379837, -17.821527, -18.831312, -22.078962, -17.467884, -16.997013, -16.476334, -18.244629, -17.27324, -15.814585, -19.020906, -17.506306, -17.311605, -4.5988364, -2.163247, -13.906892, -22.381464, -27.799076, -26.532158, -23.213354, -19.243874, -22.869696, -24.29051, -26.583439, -24.723286, -33.5352
1506798744.594000, /muse/elements/low_freqs_absolute, 1.7067263, 0.0, 0.0, 1.2157992
1506798744.594000, /muse/elements/alpha_absolute, 1.0289701, 0.0, 0.0, 0.8729304
1506798744.594000, /muse/elements/beta_absolute, 0.8780479, 0.0, 0.0, 0.5973101
1506798744.594000, /muse/elements/delta_absolute, 1.5821656, 0.0, 0.0, 1.0585111
1506798744.594000, /muse/elements/gamma_absolute, 0.6316, 0.0, 0.0, 0.39683434
1506798744.594000, /muse/elements/theta_absolute, 1.1035305, 0.0, 0.0, 0.69843775
1506798744.594000, /muse/elements/alpha_session_score, 0.6923077, 1.0, 1.0, 0.8
1506798744.594000, /muse/elements/beta_session_score, 0.47058824, 1.0, 1.0, 0.6785714
1506798744.594000, /muse/elements/delta_session_score, 0.8560606, 1.0, 1.0, 0.39097744
1506798744.594000, /muse/elements/gamma_session_score, 0.5, 1.0, 1.0, 0.7307692
1506798744.594000, /muse/elements/theta_session_score, 0.7777778, 1.0, 1.0, 0.3442623
1506798744.594000, /muse/eeg, 842.2299, 1263.3448, 1070.8822, 881.7095
1506798744.594000, /muse/eeg, 840.58496, 842.2299, 649.7672, 878.4195
1506798744.594000, /muse/drlref, 1635483.9, 1645161.2
1506798744.594000, /muse/acc, -105.46892, 1007.8141, 74.218864
1506798744.595000, /muse/acc, -113.281425, 1003.90784, 85.93764
1506798744.612000, /muse/acc, -113.281425, 1007.8141, 70.31261
1506798744.628000, /muse/acc, -109.37517, 1003.90784, 74.218864
1506798744.649000, /muse/eeg, 840.58496, 1052.7875, 649.7672, 861.9697
1506798744.650000, /muse/eeg/quantization, 1, 128, 64, 1
1506798744.650000, /muse/eeg, 840.58496, 1682.815, 860.3247, 687.6018
1506798744.650000, /muse/eeg, 835.65, 1682.815, 649.7672, 544.48846
1506798744.650000, /muse/eeg, 832.36005, 1682.815, 649.7672, 661.2821
1506798744.650000, /muse/eeg, 842.2299, 1472.2574, 544.48846, 704.0516
1506798744.650000, /muse/eeg, 832.36005, 1472.2574, 544.48846, 809.3303
1506798744.650000, /muse/eeg, 824.13513, 1682.815, 965.60345, 822.4902
1506798744.650000, /muse/eeg, 840.58496, 1682.815, 965.60345, 827.4251
1506798744.650000, /muse/eeg, 845.5199, 1682.815, 1070.8822, 865.25964
1506798744.650000, /muse/eeg, 845.5199, 1472.2574, 860.3247, 884.99945
1506798744.650000, /muse/eeg, 843.87494, 1682.815, 965.60345, 881.7095
1506798744.650000, /muse/eeg, 850.45483, 1682.815, 965.60345, 884.99945
1506798744.650000, /muse/eeg, 840.58496, 840.58496, 439.20975, 908.0292
1506798744.650000, /muse/eeg, 848.8099, 1682.815, 1281.4397, 903.09424
1506798744.650000, /muse/eeg, 842.2299, 630.02747, 439.20975, 901.4492
1506798744.650000, /muse/eeg, 830.7151, 1051.1425, 965.60345, 911.3191
1506798744.650000, /muse/acc, -101.56266, 1003.90784, 78.12512
1506798744.662000, /muse/acc, -97.6564, 1003.90784, 78.12512
1506798744.678000, /muse/drlref, 1635483.9, 1645161.2
1506798744.694000, /muse/acc, -97.6564, 1007.8141, 82.03138
1506798744.716000, /muse/eeg, 835.65, 1472.2574, 965.60345, 922.834
1506798744.716000, /muse/eeg/quantization, 1, 128, 128, 1
1506798744.716000, /muse/eeg, 824.13513, 419.47, 333.931, 891.57935
1506798744.716000, /muse/eeg, 827.4251, 840.58496, 755.04596, 912.9641
1506798744.716000, /muse/eeg, 830.7151, 840.58496, 755.04596, 912.9641
1506798744.716000, /muse/elements/alpha_relative, 0.13355145, nan, nan, 0.23956439
1506798744.716000, /muse/elements/beta_relative, 0.103677236, nan, nan, 0.13678308
1506798744.716000, /muse/elements/delta_relative, 0.5483578, nan, nan, 0.38884357
1506798744.716000, /muse/elements/gamma_relative, 0.06221387, nan, nan, 0.082368135
1506798744.716000, /muse/elements/theta_relative, 0.15219966, nan, nan, 0.15244085
1506798744.716000, /muse/elements/horseshoe, 1.0, 4.0, 4.0, 1.0
1506798744.716000, /muse/elements/is_good, 1, 0, 0, 1
1506798744.716000, /muse/elements/blink, 0
1506798744.716000, /muse/elements/jaw_clench, 1
1506798744.716000, /muse/elements/touching_forehead, 1
1506798744.716000, /muse/elements/experimental/concentration, 0.8221644
1506798744.716000, /muse/elements/experimental/mellow, 0.9167683
1506798744.717000, /muse/elements/raw_fft0, 8.749006, 15.925146, 10.9489355, 8.885341, 8.156013, 4.389742, -0.15033437, 1.4159846, -0.5096918, -3.2967126, -3.0015197, -1.9583248, -3.7980204, -5.003354, -4.8359447, -0.9792375, -4.264217, -4.1919427, -11.429106, -9.977125, -6.9143744, -5.8039856, -3.6704192, -5.933997, -3.3335197, -1.430192, -5.835414, -7.7433414, -7.0502357, -6.2123256, -5.5699105, -4.169352, -9.248643, -8.760614, -9.115185, -11.865622, -6.984257, -7.578392, -5.9082427, -7.4400983, -9.153643, -7.1273584, -7.1412616, -6.458351, -4.3333664, -3.9649923, -7.7428513, -13.788704, -10.511981, -8.576236, -16.58336, -11.22589, -8.249786, -6.337527, -4.074589, -8.030891, -12.883546, -10.479413, -12.385704, -17.38134, -10.07002, -7.8408265, -11.160484, -15.191755, -20.840406, -16.840298, -13.899239, -15.387227, -17.398502, -15.158492, -13.877001, -20.191963, -15.045054, -19.572945, -24.811823, -19.251955, -13.298452, -19.419611, -15.48739, -14.405707, -15.617887, -12.713809, -13.167978, -13.780881, -8.369966, -7.9290247, -8.799076, -7.931059, -11.666756, -12.531328, -17.186304, -14.888965, -21.242285, -15.348718, -10.925005, -7.5614896, -11.100394, -14.29889, -14.513561, -12.548229, -18.49379, -12.131658, -13.833718, -15.174987, -15.783809, -13.784528, -13.222432, -13.092195, -12.969399, -19.82703, -12.656185, -15.809132, -14.50354, -10.977651, -14.081833, -20.294394, -17.433302, -22.19715, -18.54114, -15.955108, -19.043673, -17.407019, -17.0377, -16.069613, -13.987699, -18.408861, -21.492245, -22.735981, -18.505432
